ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
MF	GO:0005506	iron ion binding	152	-0.363584887449902	-1.30819507795671	0.000299954613151205	0.00973949014990961	0.00873298423492856	3526	tags=26%, list=10%, signal=23%	1571/1036/55217/94033/9420/122961/1558/6622/2235/1565/392636/3050/79152/285440/26234/1593/6309/316/51302/1595/10826/5264/50/1573/54/1551/8424/55586/1543/1555/284541/1579/1576/5053/1581/1549/1544/1586/1548
BP	GO:0009185	ribonucleoside diphosphate metabolic process	135	-0.364559929994232	-1.31936861518762	0.000473762519081375	0.0131177053656607	0.0117620853241292	7073	tags=39%, list=19%, signal=31%	131870/9818/5211/230/205/9883/5214/5207/405/3479/5562/351/51422/5571/2023/55746/8021/4354/5903/9972/5663/5230/53343/3643/26137/669/23279/50808/5223/2819/5213/4967/55526/51085/441531/260425/5465/9414/954/1740/5563/2027/2103/5208/10891/957/55753/26289/2203/5313/6521/229
BP	GO:0046890	regulation of lipid biosynthetic process	195	-0.365080659882278	-1.253579672114	6.01113505471783e-05	0.00292771246490323	0.00262515454165134	4300	tags=31%, list=12%, signal=27%	2822/57678/407031/1717/654/5978/4047/5155/32/7536/407032/3638/23411/2224/9619/1389/3949/650/5166/2170/26137/6721/406987/9965/2222/3156/11160/50846/4790/221395/3422/51085/3157/7421/128486/406959/9104/552/2246/5563/6309/406961/1958/1595/634/57406/33/2852/10891/427/653/407039/407053/345275/7069/1081/1581/335/345/116519
BP	GO:0098754	detoxification	134	-0.366832620772777	-1.32177125498771	0.000608380363029893	0.0152756373760767	0.0136970106576884	2645	tags=21%, list=7%, signal=19%	51109/573971/3050/128/2938/54996/5446/84203/9104/3043/948/9429/23530/2176/22977/55937/847/10786/145226/5174/4353/2168/389434/3042/3048/3047/213/127
MF	GO:0015081	sodium ion transmembrane transporter activity	150	-0.367544556132357	-1.32026316475166	0.000564769296095415	0.014656591709796	0.013141938886875	2882	tags=29%, list=8%, signal=27%	6330/254428/6531/6506/345274/6539/9154/57835/142680/479/8671/6505/115584/83697/610/10050/10246/6540/6532/6550/159963/10786/6329/125206/2897/6524/6530/25769/6557/496/6555/6549/6561/160728/348932/6523/8647/6554/6569/340024/55117/389015/9058
BP	GO:0009135	purine nucleoside diphosphate metabolic process	133	-0.367748874171669	-1.32907247413838	0.000585397225516373	0.0149776473680376	0.013429815763262	7073	tags=39%, list=19%, signal=32%	131870/9818/5211/230/205/9883/5214/5207/405/3479/5562/351/51422/5571/2023/55746/8021/4354/5903/9972/5663/5230/53343/3643/26137/669/23279/50808/5223/2819/5213/4967/55526/51085/441531/260425/5465/9414/954/1740/5563/2027/2103/5208/10891/957/55753/26289/2203/5313/6521/229
BP	GO:0009179	purine ribonucleoside diphosphate metabolic process	133	-0.367748874171669	-1.32907247413838	0.000585397225516373	0.0149776473680376	0.013429815763262	7073	tags=39%, list=19%, signal=32%	131870/9818/5211/230/205/9883/5214/5207/405/3479/5562/351/51422/5571/2023/55746/8021/4354/5903/9972/5663/5230/53343/3643/26137/669/23279/50808/5223/2819/5213/4967/55526/51085/441531/260425/5465/9414/954/1740/5563/2027/2103/5208/10891/957/55753/26289/2203/5313/6521/229
BP	GO:0034754	cellular hormone metabolic process	129	-0.370693320478425	-1.30586000140644	0.000312355283556176	0.0098295729437159	0.00881375762306695	3018	tags=26%, list=8%, signal=24%	1645/1558/3284/7923/1565/51109/125/8228/54884/10170/1958/5950/10891/54658/6718/64577/1551/54600/653/8608/145226/130/1543/8630/1109/7276/1576/10202/126/1544/1586/124/127
CC	GO:0005741	mitochondrial outer membrane	175	-0.371177426535484	-1.24959323539614	2.35877577871645e-05	0.00137199296193687	0.00123020740537828	5804	tags=43%, list=16%, signal=37%	345778/51309/140707/2309/25875/84816/54470/23098/10981/666/7419/2181/7416/8936/55626/2475/4976/79671/54832/57678/54332/9868/91137/518/10493/9830/56910/84749/32/55326/493856/23111/7314/9804/51566/25813/201164/64757/374986/8165/664/55177/8303/23446/10017/387990/84709/26056/9927/91445/54471/55735/1654/79594/4129/6622/3032/5241/596/55333/1528/64112/65018/54996/599/5138/120892/132671/1374/2710/670/2180/1610/2043/23305/383
MF	GO:0019842	vitamin binding	136	-0.371756703099668	-1.17256442158676	0.000404548445304502	0.0117232049472649	0.0105116964452447	4730	tags=38%, list=13%, signal=33%	55258/23042/1719/64757/54583/9517/10993/55788/883/5091/10558/211/348751/56922/116362/10994/113235/55163/55304/4967/7298/55526/573971/10588/6948/7421/6470/54996/2875/5950/2805/5095/5264/10841/9365/55753/18/212/7274/8029/64902/64850/1644/27232/173/793/2638/189/6898/213/127
BP	GO:0007586	digestion	138	-0.372717605178163	-1.15899376190741	0.000499023681512328	0.0136766320848379	0.0122632510065135	3118	tags=33%, list=9%, signal=31%	51474/6446/113235/3658/48/1645/7099/114131/7430/2693/7421/9414/79924/51302/948/5950/5733/248/27159/5357/10891/358/64081/4585/6514/1131/6718/643847/8972/3274/2168/362/4883/6523/7429/1128/1056/64241/6750/115111/389015/1392/5225/336/335/116519
MF	GO:0016651	oxidoreductase activity, acting on NAD(P)H	100	-0.376179036701752	-1.35379786956482	0.00297379962731069	0.0481827053843826	0.0432033710226531	7149	tags=31%, list=20%, signal=25%	4688/114112/4724/4723/4705/10587/51706/2766/4720/606495/4712/5230/10935/4846/84869/1355/51292/1429/1738/1645/4719/9131/84203/10901/79400/23530/4843/55586/27294/1109/127
BP	GO:1903034	regulation of response to wounding	171	-0.377107672667559	-1.26040315017224	5.81710995304619e-05	0.00286776426648649	0.00257140155626631	4498	tags=25%, list=12%, signal=22%	4846/8428/3848/23122/2150/928/325/7001/947/3156/2811/90102/693175/2039/7099/406977/7057/22875/3818/7048/406978/9314/825/5581/55966/948/634/8613/2043/84830/18/2155/5624/7429/2160/5340/1361/7448/350/3827/462/3273
BP	GO:0032091	negative regulation of protein binding	101	-0.380777543691531	-1.37680418661456	0.00214182528285368	0.0383961361682306	0.0344281730027152	2932	tags=16%, list=8%, signal=15%	407019/6653/9750/5465/1601/84630/154/165904/120892/57669/255738/124857/3078/90167/3080/81494
MF	GO:0016874	ligase activity	124	-0.380939225542633	-1.32570834326744	0.000455019788623324	0.0127295328408982	0.0114140276242901	6028	tags=35%, list=17%, signal=30%	51493/10352/7706/79739/89978/84514/5188/32/8801/10667/8945/79731/55699/23205/64087/158135/84532/55157/132949/5096/79876/5091/10998/124454/56922/25973/54988/8802/6296/4522/23395/92935/284716/2729/10588/8803/123876/79611/5095/2180/23305/348158/1373/11001
BP	GO:0016241	regulation of macroautophagy	170	-0.382034371451964	-1.27582033114161	2.76480336664346e-05	0.00157418557882481	0.00141150487665482	9354	tags=55%, list=26%, signal=41%	8517/823/27244/23545/10325/8396/55763/55004/665/8897/57602/5071/143686/60673/9550/79142/81876/9637/10542/27429/5595/207/22930/27131/58533/10241/29978/10670/534/2475/5565/8678/5562/51422/54832/60592/9531/9559/5571/25782/10193/23256/55737/200576/23367/79837/529/23265/10206/10133/84749/5290/29979/9114/2629/8100/3064/8649/7405/51606/23411/5899/51322/79443/9517/5599/664/7248/535/149371/528/527/10558/9927/526/55187/6048/4534/5564/140775/7957/51382/154/65018/3162/5563/120892/3791/523/58528/57533/245973/525/245972
CC	GO:0030134	COPII-coated ER to Golgi transport vesicle	91	-0.382145576157207	-1.46138103201253	0.00132641662424578	0.0271495655874104	0.0243438542070104	9925	tags=60%, list=27%, signal=44%	22937/81562/9554/3123/3115/2157/81555/6720/222068/10972/6811/3998/113419/3119/3117/51014/51124/3106/11196/3122/3118/286451/2801/51128/3113/351/3133/22872/143187/11018/9919/90411/50999/567/10175/3107/3135/23259/3136/23392/59349/3120/10483/966/8615/3127/6721/10427/10490/9632/111240474/55014/255738/2153/146456
BP	GO:0015718	monocarboxylic acid transport	162	-0.384619279926315	-1.39894201173003	3.1879007248414e-05	0.00176259231822971	0.00158044114124897	3330	tags=32%, list=9%, signal=29%	51660/6754/320/9368/1645/80763/345274/6539/5468/7057/5825/5465/9122/347411/6578/5563/200931/123/10257/1374/948/634/123264/201232/2180/1376/4843/6540/162515/159963/9194/387700/18/407039/846/220963/10991/2168/2167/7069/11001/6555/160728/114571/1109/255189/50487/8647/6554/1579/9390/10599
BP	GO:0042594	response to starvation	188	-0.386255805837067	-1.49056907369217	8.64792574101563e-06	0.000617938306098468	0.000554078848302594	7268	tags=51%, list=20%, signal=41%	355/27244/7486/84219/4654/10325/7538/389493/11337/1026/8897/144577/81929/4217/143686/3920/10985/158/6752/2309/5595/55062/168620/659/83939/22863/867/8493/23032/9681/10670/55626/11345/2475/4780/2308/96459/56270/5207/9779/84918/8678/5562/79567/23367/55364/1965/9213/467/2629/26/23411/5899/8428/5289/3155/5599/5166/93664/6721/5287/54828/3312/30849/1824/2642/53349/5594/80315/5468/23235/114131/23710/596/81788/283375/5563/120892/5587/6422/92196/5106/7071/10891/54658/255738/220441/58528/6751/1373/38/10991/5019/5105/54474/213
BP	GO:0003014	renal system process	120	-0.389837031296703	-1.26330525340335	0.000603066611596604	0.0152368548586205	0.0136622360331112	4457	tags=35%, list=12%, signal=31%	361/22841/1136/2150/183/4645/947/148/6446/9368/221395/80763/108/5641/1364/1910/57835/596/2702/652/107/5125/111/115/552/26249/3778/3043/358/6927/185/5972/3291/56670/1143/359/525/56302/4883/9356/1579/6521
BP	GO:0034101	erythrocyte homeostasis	122	-0.392086454702951	-1.35164565729554	0.000147374216179987	0.00559109532214414	0.00501329603015418	4617	tags=27%, list=13%, signal=24%	6777/94081/92/3313/8444/669/6886/2624/2113/2034/7049/10365/6722/5926/3658/221395/2039/7067/3050/652/25893/3162/28996/2623/55553/3815/10107/2038/212/10661/51327/6005/6521
BP	GO:0048259	regulation of receptor-mediated endocytosis	99	-0.39403764729427	-1.51198048442984	0.000704675599495585	0.0170254479245023	0.0152659909326625	5291	tags=30%, list=15%, signal=26%	84896/3190/4289/8301/8976/5291/567/6850/23607/408/23011/26045/4983/284/54550/1948/407019/406977/5336/9829/1601/8650/23237/255738/1950/347730/6456/7448/345/116519
BP	GO:0050810	regulation of steroid biosynthetic process	95	-0.394081167952358	-1.42637041428766	0.00130260927131668	0.0269350280270981	0.0241514875529895	5804	tags=39%, list=16%, signal=33%	57678/407031/1717/654/5978/4047/32/7536/407032/3638/23411/2224/9619/650/6721/9965/2222/3156/11160/50846/4790/3422/3157/7421/406959/2246/6309/406961/1958/1595/10891/427/653/407039/407053/1081/1581
BP	GO:0033559	unsaturated fatty acid metabolic process	109	-0.395354506495144	-1.25070258779774	0.000560174859016178	0.0146527538512787	0.0131384976432974	4165	tags=29%, list=11%, signal=26%	6342/406987/50640/284273/1907/1571/3295/8824/22949/51/6785/1558/1565/8605/2166/145482/2938/552/79993/2053/2180/1573/3248/1543/525/1555/1109/255189/1579/1549/1544/1548
MF	GO:0051087	chaperone binding	101	-0.396030804866322	-1.43195647748072	0.00110856177064136	0.0241243531518478	0.0216312756119879	6691	tags=34%, list=18%, signal=28%	2896/80273/96459/274/3337/1027/5611/10294/9531/10273/9529/10681/25822/11080/538/55664/478/3301/7248/3312/6767/573/64215/4189/7450/57600/55466/8844/135138/4036/4137/1080/5340/213
BP	GO:0030218	erythrocyte differentiation	114	-0.398435532322841	-1.30662940472358	0.000224493121727125	0.0077522691368368	0.00695112815094815	4617	tags=37%, list=13%, signal=32%	4090/9991/1432/10019/405/9258/4779/5469/118/51621/567/6777/94081/92/3313/8444/669/6886/2624/2113/2034/7049/10365/6722/5926/221395/2039/7067/3050/652/25893/28996/2623/55553/3815/10107/2038/212/10661/51327/6005/6521
BP	GO:0045834	positive regulation of lipid metabolic process	143	-0.40095294295742	-1.26442960353781	1.75603116404052e-05	0.00106748210235095	0.00095716554228311	4366	tags=28%, list=12%, signal=25%	2321/9619/1389/3949/183/2170/26137/10451/8013/30849/221395/51085/5468/23417/5465/2693/1917/406959/9104/552/2246/5581/7010/388121/5587/1374/57406/27329/10891/185/3815/407053/2168/345275/13/1081/1581/336/335/116519
MF	GO:0140101	catalytic activity, acting on a tRNA	102	-0.401072607260726	-1.4075549810892	0.00114786259610498	0.024551505527801	0.0220142848771234	21880	tags=100%, list=60%, signal=40%	54938/80324/79587/10248/55621/391356/64118/10799/81890/83707/51367/4234/79897/6894/92675/80755/116461/51251/80746/283989/344405/51651/221078/79042/51067/10785/115708/150962/54913/10556/441250/54802/131965/55798/56931/10056/54482/3396/60487/10557/51605/55152/85495/60528/80222/51095/54888/10775/23438/83480/80745/79828/11062/10940/55253/63899/152992/54920/79691/57038/339175/2193/283459/129450/93587/25917/54901/112487/158234/57470/57505/91801/57176/54931/1787/55278/55039/144233/123263/10352/11102/79068/5188/8846/10667/79979/127253/79731/55699/138428/55157/57604/57570/55006/9836/124454/81627/25973/51531/23395/92935
BP	GO:1901655	cellular response to ketone	93	-0.401141070067536	-1.44571632344946	0.000882398166273638	0.0203477857310735	0.0182449891390688	3262	tags=22%, list=9%, signal=20%	10365/687/5468/108/9131/107/9314/111/367/5581/5563/6422/5106/358/196541/1080/5105/383/1392/503618
BP	GO:0019217	regulation of fatty acid metabolic process	96	-0.402145313752561	-1.49544798697158	0.000821466278669066	0.0193631337114851	0.0173620937891479	4878	tags=34%, list=13%, signal=30%	407032/3638/55066/23411/54704/55198/5166/2170/406987/8013/11160/57546/6622/51085/5468/23417/5465/2693/406959/9104/552/5563/1374/634/5164/33/10891/407039/407053/2168/1581/345/116519
MF	GO:0008135	translation factor activity, RNA binding	85	-0.402765435336487	-1.4987338300146	0.000942317630762735	0.0214006686649346	0.0191890642314103	9525	tags=46%, list=26%, signal=34%	60678/1981/1968/8669/9617/10767/10985/9567/54516/29904/728689/2107/1938/2935/83939/23708/1977/1964/7458/1982/132864/1965/317649/1915/10289/54505/23/79631/8663/1975/22849/85476/1983/8661/51386/84340/80315/1917/255308
MF	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	159	-0.40327303880891	-1.46056746033322	6.01320455839162e-06	0.000454362232285946	0.000407407179475092	2027	tags=22%, list=6%, signal=21%	9420/1645/1558/1565/392636/57553/2327/3162/285440/1593/6309/51302/1595/10826/2330/5264/1573/6718/1551/4843/8424/2326/1543/1555/1109/284541/1579/1576/7299/5053/1581/1549/1544/1586/1548
BP	GO:0016052	carbohydrate catabolic process	197	-0.404304060714471	-1.39653015631662	1.31918187832519e-07	1.69295007718399e-05	1.51799592247712e-05	6422	tags=35%, list=18%, signal=29%	5207/405/3479/5562/351/51422/2820/216/5571/2023/26007/2592/55746/8021/801/55347/5903/9972/5257/5663/55556/5230/84750/3643/178/26137/130589/669/23279/5223/8987/2819/5213/4967/55526/51085/441531/10690/5465/2585/414328/4041/2523/5563/2027/51084/2103/2710/6652/5208/27159/3795/10891/9942/957/55753/8972/11181/55586/27294/2203/2528/57733/129807/5313/6521/229/2538
MF	GO:0031072	heat shock protein binding	119	-0.406584404769436	-1.31607893796235	9.39274999577526e-05	0.00406098308640872	0.00364130983511986	6323	tags=28%, list=17%, signal=23%	406/3337/1027/10294/9093/10273/79982/7019/10869/3064/3313/55664/3301/7248/3312/3305/6767/4189/1571/6622/2861/54880/57026/55466/2246/3791/8844/135138/4137/196541/1543/336/335
BP	GO:0003073	regulation of systemic arterial blood pressure	91	-0.406679869469159	-1.55520378731028	0.000337167961042665	0.010248131447481	0.00918906113059292	4568	tags=36%, list=13%, signal=32%	5547/4846/1359/2150/183/148/1907/83988/80763/4311/143872/57835/2028/2702/154/5125/367/552/23576/185/1215/1511/5972/354/170690/3291/56670/59272/553/1066/1579/3816/1392
BP	GO:0015748	organophosphate ester transport	119	-0.407320583012964	-1.31846188396207	8.73935838317815e-05	0.00394735824178745	0.00353942729696842	4300	tags=32%, list=12%, signal=28%	2542/56910/9197/57088/161291/5243/219855/9619/79895/114882/3949/6342/79085/84275/26207/1071/57724/63982/57205/388323/292/10396/80736/284439/114789/291/388121/23250/10786/2705/121601/64241/6521/2538/336/335/345/116519
MF	GO:0016209	antioxidant activity	84	-0.407531973077293	-1.50672758118346	0.00116636939589791	0.0248815212818855	0.0223101958882069	2441	tags=15%, list=7%, signal=14%	3050/2938/84203/3043/55937/847/4353/2168/389434/3042/3048/3047/213
BP	GO:0097581	lamellipodium organization	80	-0.407550031035013	-1.45670257817687	0.00183409708060769	0.0339096072404336	0.0304052944132886	7217	tags=36%, list=20%, signal=29%	998/221178/8874/8936/10163/2475/6239/23191/10787/5168/7410/6642/406973/538/1012/3983/10451/9353/79647/1969/26053/6643/1901/2039/84962/3815/7429/90167/3273
MF	GO:0043178	alcohol binding	85	-0.408407189287386	-1.51972740782687	0.000698536327324685	0.0170197782413613	0.0152609071702965	2203	tags=27%, list=6%, signal=25%	9619/114882/6342/2733/1071/7224/11160/23762/116362/114876/54762/5581/57113/5334/5950/23228/23245/336/319/335/345/127/116519
BP	GO:0032368	regulation of lipid transport	118	-0.409902220002068	-1.32452351859269	0.000108623933114905	0.00459803402740317	0.00412286044288977	3053	tags=30%, list=8%, signal=27%	407032/5727/6850/407015/23411/9619/183/6342/2170/6721/1071/6754/4790/407019/5468/7057/100126318/158219/10396/2587/693120/255738/185/5972/407039/1950/406916/64241/1579/1392/5444/336/335/345/116519
BP	GO:0006720	isoprenoid metabolic process	138	-0.410549175194205	-1.27663390834158	2.20958125969058e-05	0.00129452641192741	0.00116074646342403	3066	tags=32%, list=8%, signal=29%	2239/1645/55825/222236/1558/1565/3422/3157/51109/125/338328/8228/54884/128/10170/3339/285440/2719/5950/5264/224/54658/55937/64577/1551/54600/8608/145226/4036/130/1543/2652/1109/7276/1576/3158/1392/126/1544/336/335/345/124/127
BP	GO:0045333	cellular respiration	183	-0.410639661458534	-1.61839149040694	2.07287364612463e-07	2.53927021650267e-05	2.27685499216273e-05	7000	tags=38%, list=19%, signal=31%	4724/54205/56181/1352/4723/79675/4705/5160/57017/2820/79072/4190/1431/201163/4720/4204/9650/90624/23410/4712/6389/5290/3418/8801/22868/2271/6390/246269/664/79085/107075310/1355/10165/8013/7385/2819/8802/1738/3658/1737/48/6622/6392/4967/10131/60493/5161/6391/55526/63976/7386/81889/1743/4719/2108/65018/8803/59341/3419/114789/2110/7915/23530/50/10891/847/4843/55753/1544
BP	GO:0098876	vesicle-mediated transport to the plasma membrane	96	-0.410942259606977	-1.52816097533573	0.000480313352182444	0.0132086171850172	0.0118436020640189	9441	tags=56%, list=26%, signal=42%	6845/64083/23426/55763/8766/116841/582/57182/377/9135/23339/10890/8548/583/2181/80262/55770/54520/55204/9341/403/84079/23499/9559/51125/163882/253725/55737/6844/9919/10133/54536/23233/22883/57554/373/81609/9581/2803/10564/10640/5602/57020/63971/23062/149371/10311/261729/29091/6711/6809/81693/312/288
BP	GO:0001523	retinoid metabolic process	104	-0.411441427695584	-1.43086223211856	0.000593648290229352	0.0151408404621587	0.0135761440305813	3066	tags=36%, list=8%, signal=33%	2239/1645/222236/1558/1565/51109/125/338328/8228/54884/128/10170/3339/285440/2719/5950/54658/55937/64577/1551/54600/8608/145226/4036/130/1543/2652/1109/7276/1576/126/1544/336/335/345/124/127
BP	GO:1990542	mitochondrial transmembrane transport	90	-0.411937743308488	-1.56073823917064	0.001387988655201	0.0279847587962596	0.0250927362340708	7103	tags=40%, list=19%, signal=32%	91689/10440/57380/80273/4976/5565/3954/51422/30968/518/32/63933/29090/7263/9804/221154/515/25874/79085/10165/788/84275/387990/51660/10166/79568/506/10367/498/10939/347411/5563/1374/1376/118980/7069
CC	GO:0098862	cluster of actin-based cell projections	150	-0.412107001923567	-1.48033669795396	1.92454518093746e-05	0.0011441138079323	0.00102587791494708	3147	tags=29%, list=9%, signal=27%	9368/113235/120/4647/4311/9750/7430/2059/8989/10083/2028/5962/53841/142680/5745/948/5172/5357/81693/358/6514/54825/11136/6550/10786/84059/5174/6519/50617/257629/8029/4036/762/1811/59272/4648/793/348932/6523/7429/116085/5816/6569/340024
MF	GO:0016410	N-acyltransferase activity	107	-0.414285951141484	-1.4416765496063	0.000135239246190655	0.00533370392903144	0.00478250417722742	7505	tags=42%, list=21%, signal=33%	219970/9397/6872/256302/8202/26122/3054/79603/54107/9575/51773/117143/23326/64841/29956/80155/8888/11143/23522/1387/7994/54556/93624/11091/8648/100287520/60560/55140/2033/211/122830/8110/9329/10524/151050/339983/10249/9027/212/9085/92292/203611/253175/51471/570
BP	GO:0006826	iron ion transport	76	-0.416757228500745	-1.4524953180642	0.0014791650043676	0.0291310235837711	0.0261205428404038	5277	tags=37%, list=14%, signal=32%	79689/538/567/9114/1213/51606/94081/22/55640/535/528/527/526/22853/94033/113235/3658/261729/51382/523/30061/50617/245973/525/127124/3263/245972/3273
BP	GO:0097327	response to antineoplastic agent	96	-0.417152371402104	-1.55125436686684	0.000325183559956049	0.0100919933895126	0.00904905881243019	6949	tags=40%, list=19%, signal=32%	1977/546/387758/1906/4976/2308/5562/1495/23367/3728/5603/11143/5155/2629/10974/57657/1719/51780/1499/9101/22949/23095/999/1317/573971/2693/3162/1958/5106/358/1373/196541/2155/9356/5105/383/1392/503618
CC	GO:0072562	blood microparticle	144	-0.419503219139846	-1.34687824411386	2.36901812279123e-06	0.00020161591076597	0.000180780363564135	618	tags=17%, list=2%, signal=16%	2220/922/3078/173/2638/3263/6521/5340/3697/3048/5444/259/3698/7448/336/5004/3827/335/197/5005/731/213/462/3273
BP	GO:1903035	negative regulation of response to wounding	89	-0.419769945572279	-1.58297738229892	0.000698895037245756	0.0170197782413613	0.0152609071702965	1763	tags=15%, list=5%, signal=14%	55966/634/2043/84830/18/5624/2160/5340/1361/7448/350/3827/3273
BP	GO:0061041	regulation of wound healing	141	-0.422765634610182	-1.32592751964373	1.99174228915926e-06	0.000175035178346224	0.000156946557728144	4498	tags=28%, list=12%, signal=24%	4846/3848/23122/2150/928/325/7001/947/3156/2811/90102/693175/2039/7099/406977/7057/22875/3818/7048/406978/825/5581/55966/948/634/8613/84830/18/2155/5624/7429/2160/5340/1361/7448/350/3827/462/3273
BP	GO:0006721	terpenoid metabolic process	120	-0.423529963096697	-1.37249051372588	6.36121185965289e-05	0.00306133320745795	0.00274496654620485	3066	tags=35%, list=8%, signal=32%	2239/1645/55825/222236/1558/1565/3157/51109/125/338328/8228/54884/128/10170/3339/285440/2719/5950/224/54658/55937/64577/1551/54600/8608/145226/4036/130/1543/2652/1109/7276/1576/3158/1392/126/1544/336/335/345/124/127
BP	GO:0098869	cellular oxidant detoxification	99	-0.423730948621391	-1.62591805469295	9.35332582809338e-05	0.00406098308640872	0.00364130983511986	5206	tags=30%, list=14%, signal=26%	119391/538/125336/84293/1719/10935/4846/51780/8288/26034/7001/3046/573971/3050/2938/84203/9104/3043/948/23530/2176/55937/847/4353/2168/389434/3042/3048/3047/213
BP	GO:0016101	diterpenoid metabolic process	110	-0.423963652375138	-1.3532665309717	7.30752760550796e-05	0.00344756377077366	0.00309128297227721	3066	tags=36%, list=8%, signal=33%	2239/1645/55825/222236/1558/1565/51109/125/338328/8228/54884/128/10170/3339/285440/2719/5950/224/54658/55937/64577/1551/54600/8608/145226/4036/130/1543/2652/1109/7276/1576/1392/126/1544/336/335/345/124/127
MF	GO:0030165	PDZ domain binding	86	-0.425295474783248	-1.59585119613035	0.000520077867872714	0.0139695334277438	0.01252588311257	6338	tags=44%, list=17%, signal=37%	1837/55970/83878/10458/23085/51232/6641/55327/5663/92/59338/3993/1182/84708/80319/7049/8322/6383/57498/92162/59339/9368/8321/51/222484/9693/27237/491/729993/6583/388336/11113/6550/5174/1080/116085/140453/6569
CC	GO:0016234	inclusion body	82	-0.427201196730988	-1.48983266409507	0.00140815085868705	0.0281804447833783	0.0252681994887383	8948	tags=48%, list=25%, signal=36%	3326/2060/5071/22803/8878/4591/6310/7175/7541/4928/1938/25820/11279/9531/10273/9529/9709/55437/8301/29979/5903/9816/9972/5663/3064/10537/51567/178/25793/6622/23224/63976/23001/65018/120892/55586/4137/6620/135892
MF	GO:0015399	primary active transmembrane transporter activity	111	-0.428260708929585	-1.37089621542063	2.50701219496741e-05	0.00144779954259368	0.00129817992381508	5558	tags=40%, list=15%, signal=34%	529/55862/6833/10928/538/64240/9114/5243/5826/51606/9804/22/9619/486/478/55788/535/387990/23456/528/527/51449/526/368/506/5825/51382/10396/491/479/10257/540/523/9429/10351/340273/50617/245973/496/1080/127124/245972/8647/64241
MF	GO:0042626	ATPase-coupled transmembrane transporter activity	102	-0.430277487542866	-1.51004882875933	0.0002263017538354	0.0077522691368368	0.00695112815094815	5558	tags=40%, list=15%, signal=34%	529/6833/10928/538/64240/9114/5243/5826/51606/22/9619/486/478/55788/535/23456/528/527/51449/526/368/506/5825/51382/10396/491/479/10257/540/523/9429/10351/340273/50617/245973/496/1080/127124/245972/8647/64241
BP	GO:1901568	fatty acid derivative metabolic process	167	-0.430353752157142	-1.42369912197902	2.64303145631052e-07	3.18938945138367e-05	2.85978910284533e-05	4394	tags=33%, list=12%, signal=29%	23205/3155/84869/406987/50640/284273/1907/10998/55711/1571/3295/8824/728441/22949/51/54511/6785/1558/7923/1565/47/728226/8605/2166/145482/124975/2938/5446/552/91227/123876/79993/79611/2678/2679/2053/2180/1573/23305/3248/1800/38/1543/525/1555/5019/1109/255189/50487/1579/3158/5444/1549/1544/1548
BP	GO:0055088	lipid homeostasis	146	-0.43062088963094	-1.39851632175978	1.44734858111328e-06	0.000136398732234995	0.000122302909078204	4397	tags=31%, list=12%, signal=27%	4023/9619/6095/3949/2170/26137/6721/1071/9975/693175/51474/29116/9420/51/6296/1645/407019/51085/5468/338328/158219/8309/128486/693120/4041/123876/5563/406961/51302/27329/2805/2053/3990/255738/55937/407039/2167/406916/64241/2538/1581/336/335/345/116519
BP	GO:0006090	pyruvate metabolic process	149	-0.430635628589788	-1.51937182978155	3.17629621878288e-06	0.000264745927101646	0.000237386348982721	7762	tags=48%, list=21%, signal=38%	5162/4928/4199/2954/23165/2821/7416/3945/3029/9818/5211/230/63826/9883/5214/5160/5207/405/3479/5562/351/51422/5571/2023/8050/55746/8021/5903/9972/5663/5230/55066/54704/10993/3643/5166/25874/26137/669/23279/5223/5091/8013/57546/51660/2819/112817/1738/1737/5213/4967/5161/55526/51085/441531/5465/5563/2027/2103/5106/5164/5208/10891/957/55753/2203/5313/5105/6521/229/189
BP	GO:0022600	digestive system process	99	-0.430973424392926	-1.65370850086151	5.24061831328389e-05	0.00264814994143127	0.00237448278444646	3344	tags=35%, list=9%, signal=32%	51474/6446/113235/3658/48/1645/7099/7430/2693/7421/9414/948/5950/5733/5357/358/64081/4585/6514/1131/3274/2168/362/4883/6523/7429/1128/1056/64241/115111/389015/1392/336/335/116519
BP	GO:1903008	organelle disassembly	100	-0.431508359796123	-1.55291773649406	9.06703047636766e-05	0.0039957014480524	0.00358277458226565	8980	tags=47%, list=25%, signal=36%	6811/11337/665/57602/8729/5071/8878/23130/27429/3799/64422/2011/55062/7415/22863/7416/53918/55626/92399/2801/11345/56270/8678/79752/54832/10193/10133/84749/2629/493856/3064/55102/664/8444/6721/25793/9927/55187/79594/84340/54463/23710/65018/132671/7855/1513/10891
CC	GO:0031091	platelet alpha granule	91	-0.433814135690168	-1.65896922238796	7.47373249893364e-05	0.00349278192218951	0.00313182815455771	1048	tags=11%, list=3%, signal=11%	6812/2153/1950/5340/5004/3827/197/5005/213/3273
BP	GO:1900034	regulation of cellular response to heat	78	-0.435053547200149	-1.54110681284857	0.000651014091598983	0.0161952274787009	0.0145215677695294	9379	tags=49%, list=26%, signal=36%	57805/23511/3326/10762/53371/81929/9631/7175/2932/5595/4928/23165/6117/7531/9818/2475/9883/472/3337/9531/9529/3320/55746/8021/1387/5903/816/9972/817/23411/23279/3312/947/3305/573/2033/5594/4137
